Finnish,English,kappale
haluta (4),to want,5
katsoa (1),to watch,5
väsynyt,tired,5
kirja,a book,5
yhdeksältä = kello yhdeksän,at nine o’clock,5
pestä (3) hampaat,to brush teeth,5
sanoa (1),to say,5
mennä (3) nukkumaan,to go to bed,5
asuntoilmoitus,a property ad,6
vuokra,rent (noun),6
"vuokralle annetaan (antaa, 1)",available for rent,6
m2 = neliömetri,a square metre,6
kk = kuukausi,a month,6
vesimaksu,a water charge,6
hlö = henkilö,a person,6
"2 h + k + p = 2 huonetta, keittiö ja parveke","2 rooms, a kitchen and a balcony",6
hyväkuntoinen,in good condition,6
kaksio,a two-room apartment,6
kerrostalo,an apartment building,6
rauhallinen,"peaceful, quiet",6
sijainti,a location,6
viihtyisä,attractive,6
alue,an area,6
hissi,a lift,6
parveke,a balcony,6
tila,a space,6
ruokapöytä,a dining table,6
sauna,a sauna,6
pesutupa,a laundry room,6
kellari,"a basement, a cellar",6
parkkipaikka,a parking space,6
etupiha,a forecourt,6
vuokratakuu,a deposit,6
yhteydenotto,a contact,6
sähköpostitse,by email,6
vuokranantaja,a landlord,6
näyttää (1) hyvältä,to look good,6
neliö = neliömetri,a square metre,6
missä päin,whereabouts,6
odottaa (1) + P,to wait,6
ihan,quite,6
juna,a train,6
keskusta,a city centre,6
plus,plus,6
Ohhoh!,Wow!,6
hirveän kallis,terribly expensive,6
Niin on.,So it is.,6
"mennään (mennä, 3)",let's go,6
silti,"still, nonetheless",6
mennä (3) katsomaan,to go to see,6
Mennään vaan!,"Yes, let’s go!",6
näyttö,a showing (of a house or an apartment),6
sähköpostiosoite,an email address,6
muutto,a move,6
lounas,lunch,6
ulos,out,6
ikkuna,a window,6
piha,a yard,6
pakettiauto,a van,6
nostaa (1),to lift,6
laatikko,a box,6
katu,a street,6
nainen,a woman,6
kantaa (1),to carry,6
sisään,in,6
tapahtua (1),to happen,6
naapuri,a neighbour,6
apu,to help,6
viedä (2),"to take, to bring",6
vaikka = esimerkiksi,for example,6
tämä,this,6
lamppu,a lamp,6
pöytä,a table,6
olohuone,a living room,6
voida (2),"can, to be able to",6
tuo,that,6
ottaa (1),to take,6
nämä,these,6
tuoli,a chair,6
käydä (2),"to go to, visit",6
kellari,"a basement, a cellar",6
ylös,up,6
ovi,a door,6
auki,open,6
käydä (2) kylässä,to visit someone,7
kiva,nice,7
pitkästä aikaa,it has been long since,7
Niin sinuakin!,You too!,7
tässä (tämä),here (this),7
kassi,a bag,7
tuliainen,"a present, a souvenir",7
tuore,fresh,7
pulla,a bun,7
mielellämme,with pleasure / we’d be happy to,7
Tulkaa pöytään!,Take a seat!,7
matka,a journey,7
"meni (mennä, imperfekti)","went (mennä, past tense)",7
"tulitte (tulla, imperfekti)","came (tulla, past tense)",7
juna,a train,7
meillä oli (imperfekti),we had (past tense),7
"oli (olla, imperfekti)","had (olla, past tense)",7
vaikka,even though,7
melkein,almost,7
puoli,half,7
tunti,an hour,7
olla myöhässä,to be late,7
aikoa (1),to plan,7
näyttää (1),to show,7
minulle,to/for me,7
kaikki,all,7
tärkeä,important,7
paikka,a place,7
ensimmäistä kertaa,for the first time,7
ensimmäinen,first,7
ainakin,at least,7
museokeskus,a museum centre,7
kauppahalli,a market hall,7
näkötorni,an observation tower,7
Hyvä idea!,Good idea!,7
sieltä,from there,7
upea,gorgeous,7
näköala,a view,7
kahvila,a café,7
herkullinen,delicious,7
munkki,a doughnut,7
Niin onkin!,Indeed they are!,7
jos,if,7
jaksaa (1),"can, have energy to",7
ehkä,maybe,7
huvipuisto,an amusement park,7
maistaa (1),to taste,7
mustamakkara,black pudding,7
kaveri,a friend,7
"sanoi (sanoa, imperfekti)","said (sanoa, past tense)",7
tamperelainen,from Tampere,7
erikoisuus,a speciality,7
sitä (se),it,7
puolukkahillo,lingonberry jam,7
muuten,by the way,7
yöpyä (1),to stay overnight,7
hotelli,a hotel,7
tarjous,an offer,7
Sehän on kiva!,That’s nice!,7
mökki,a cottage,7
saari,an island,7
sinne,there,7
vene,a boat,7
tykätä (4) + sta/stä,to like,7
saunoa (1),to go to the sauna,7
järvi,a lake,7
tavata (4),to meet,7
pari kertaa vuodessa,a couple of times a year,7
No varmasti!,No doubt about that!,7
Onnea uuteen kotiin!,Congratulations on your new home!,8
onni,happiness,8
tupaantuliaiset,a housewarming,8
tulla (3) kylään,to visit,8
imuroida (2),to vacuum clean,8
sillä aikaa,meanwhile,8
ostoslista,a shopping list,8
